step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
68,268,2671,4166,3120,895,2672,4147,3112,773,-1,19,8,122,-13.0,20.0,25.0,96.0,5.1,5.2,5.2,5.2,35.0,37.0,38.0,35.0,0.7655454874038696,-0.7574021220207214,-0.6532236337661743,0.9593000411987305
69,269,2593,4228,3235,835,2593,4149,3183,761,0,79,52,74,0.0,57.0,236.0,46.0,5.1,5.1,5.0,5.1,35.0,37.0,38.0,34.0,-0.5216454267501831,0.4172758162021637,0.7681536674499512,-0.4059813916683197
70,270,2676,4108,3150,979,2676,4093,3140,812,0,15,10,167,0.0,19.0,31.0,160.0,5.1,5.2,5.1,5.1,35.0,37.0,38.0,34.0,0.558452308177948,-0.8058786988258362,-0.5694689750671387,0.965475857257843
71,271,2758,3978,3134,1108,2758,3948,3124,900,0,30,10,208,0.0,23.0,30.0,228.0,5.2,5.2,5.2,5.2,35.0,37.0,38.0,35.0,0.5521372556686401,-0.8667382001876831,-0.10978526622056961,0.863637387752533
72,272,2697,4037,2996,1232,2697,3969,2981,1029,0,68,15,203,0.0,46.0,49.0,216.0,5.1,5.1,5.0,4.8,35.0,37.0,38.0,35.0,-0.410709947347641,0.3962489664554596,-0.9255479574203491,0.8809735178947449
73,273,2814,3976,2906,1364,2814,3952,2889,1118,0,24,17,246,0.0,20.0,55.0,292.0,4.7,5.1,5.1,4.9,35.0,36.0,38.0,35.0,0.7807663679122925,-0.40941715240478516,-0.6034281253814697,0.9157036542892456
74,274,2852,3842,2764,1475,2852,3816,2752,1289,0,26,12,186,0.0,22.0,39.0,183.0,5.0,5.2,5.1,5.1,35.0,36.0,38.0,35.0,0.25752514600753784,-0.8958925008773804,-0.9491663575172424,0.9100037813186646
75,275,2864,3709,2644,1327,2863,3709,2642,1317,1,0,2,10,13.0,16.0,17.0,13.0,5.2,5.2,5.2,5.2,35.0,36.0,38.0,35.0,0.08133968710899353,-0.891498327255249,-0.8007627725601196,-0.986693263053894
76,276,2840,3699,2500,1186,2840,3701,2500,1186,0,-2,0,0,0.0,-16.0,0.0,0.0,5.2,5.2,5.2,5.2,35.0,36.0,38.0,35.0,-0.8161603808403015,-0.33412665128707886,-0.9620482325553894,-0.9402515292167664
77,277,2777,3729,2401,1188,2777,3728,2401,1186,0,1,0,2,0.0,15.0,0.0,10.0,5.2,5.2,5.2,5.2,35.0,36.0,38.0,35.0,-0.4208569824695587,0.20101115107536316,-0.6653583645820618,0.019611326977610588
78,278,2832,3862,2364,1237,2832,3863,2365,1234,0,-1,-1,3,0.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,35.0,36.0,37.0,34.0,0.36982008814811707,0.8868729472160339,-0.24932289123535156,0.3300383985042572
79,279,2903,3837,2324,1385,2903,3838,2325,1385,0,-1,-1,0,-4.0,0.0,0.0,0.0,5.2,5.3,5.2,5.2,34.0,36.0,37.0,34.0,0.4772823452949524,-0.16814449429512024,-0.2676019072532654,0.9907174706459045
80,280,2887,3830,2321,1364,2887,3831,2322,1365,0,-1,-1,-1,0.0,0.0,0.0,-11.0,5.2,5.2,5.2,5.2,34.0,36.0,37.0,34.0,-0.5603598356246948,-0.26510679721832275,-0.10493234544992447,-0.7252188920974731
81,281,2871,3969,2463,1491,2871,3922,2452,1426,0,47,11,65,0.0,38.0,37.0,50.0,5.1,5.1,5.1,5.2,34.0,36.0,37.0,34.0,-0.11246684938669205,0.9327828884124756,0.9529501795768738,0.8507662415504456
82,282,2940,4054,2495,1456,2940,3968,2465,1424,0,86,30,32,0.0,63.0,114.0,20.0,5.2,5.1,5.1,5.2,34.0,36.0,37.0,34.0,0.46660688519477844,0.5677360892295837,0.21695229411125183,-0.23547272384166718
83,283,3051,3911,2469,1462,3049,3905,2464,1427,2,6,5,35,13.0,16.0,22.0,21.0,5.1,5.2,5.2,5.2,34.0,36.0,37.0,34.0,0.7423327565193176,-0.9553714990615845,-0.17583709955215454,0.046309638768434525
84,284,3028,3904,2450,1582,3028,3901,2444,1460,0,3,6,122,0.0,16.0,25.0,98.0,5.1,5.2,5.2,5.1,34.0,36.0,37.0,34.0,-0.7833815813064575,-0.2657051980495453,-0.13027632236480713,0.8028020262718201
85,285,3002,3890,2309,1560,3003,3889,2307,1533,-1,1,2,27,0.0,15.0,18.0,18.0,5.2,5.2,5.2,5.2,34.0,36.0,37.0,34.0,-0.894440770149231,-0.4716806411743164,-0.9457099437713623,-0.14952480792999268
86,286,2873,3993,2390,1427,2873,3978,2386,1419,0,15,4,8,0.0,18.0,18.0,13.0,5.2,5.2,5.2,5.2,34.0,35.0,37.0,34.0,-0.8602501153945923,0.6886460781097412,0.5464385747909546,-0.889715850353241
87,287,2862,4060,2382,1355,2861,4058,2382,1354,1,2,0,1,13.0,16.0,0.0,12.0,5.2,5.2,5.2,5.2,34.0,35.0,37.0,34.0,-0.07947715371847153,0.4485866129398346,-0.05938003212213516,-0.4860396683216095
88,288,2849,4044,2307,1403,2849,4045,2307,1399,0,-1,0,4,6.0,0.0,16.0,11.0,5.2,5.3,5.2,5.2,34.0,35.0,37.0,34.0,-0.4612797200679779,-0.5425358414649963,-0.50031977891922,0.3233618438243866
89,289,2974,4178,2305,1376,2919,4111,2305,1374,55,67,0,2,37.0,47.0,17.0,11.0,5.2,5.2,5.2,5.2,34.0,35.0,37.0,34.0,0.833650529384613,0.8964294195175171,-0.07092083245515823,-0.9048948287963867
90,290,3043,4220,2333,1422,2937,4111,2328,1381,106,109,5,41,87.0,89.0,22.0,25.0,5.2,5.1,5.1,4.9,34.0,35.0,37.0,33.0,0.4656126797199249,0.28219226002693176,0.18717290461063385,0.311184823513031
91,291,3123,4292,2461,1376,2977,4112,2442,1350,146,180,19,26,141.0,187.0,66.0,18.0,5.1,5.1,5.0,5.0,34.0,35.0,37.0,33.0,0.5346595644950867,0.48308828473091125,0.8581041097640991,-0.3108724057674408
