episode,total_reward,steps,termination_reason,terminated,truncated,goal_x,goal_y,final_distance_to_goal,goal_reached,distance_reward_sum,velocity_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
42,-1.0015428571496159,2,out_of_bounds,True,False,-0.119,-0.528,0.48533172056828,False,0.0,0.0,-0.0015428571496158838,0.0,0.0,-1.0,39.0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,29.163401957160424,400,max_steps,False,True,-0.119,-0.528,0.31554806707107763,False,0.0,50.12542017622894,-2.0302286009900854,0.0,-1.2591,-17.672689707018435,511.0,183,False,,-0.09652028,0.0,0.0,-0.14740252,0.0,-0.69138384,-0.21966474,-16.000322,0.0,0.0,0.0,0.0,0.0,-0.51739806
44,29.513708530697237,400,max_steps,False,True,-0.119,-0.528,0.16621406908117567,False,0.0,52.66559749263969,-2.606400031596422,0.0,-3.1826999999999996,-17.362788838509005,574.0,194,False,,-0.008790754,0.0,0.0,-0.36521164,0.0,-1.001746,-0.5761273,-13.22084,0.0,0.0,0.0,0.0,0.0,-2.1900744
45,14.51187785625905,400,max_steps,False,True,-0.119,-0.528,0.1756713763544495,False,0.0,54.01964647406852,-3.3501714839949273,0.0,-12.679799999999998,-23.47779726680892,778.0,235,False,,-0.006803225,0.0,0.0,-1.0380404,0.0,-1.7877966,-0.35934588,-13.327916,0.0,-4.4036736,-0.6785833,0.0,0.0,-1.8756379
46,20.895744461492455,400,max_steps,False,True,-0.119,-0.528,0.18138236844795677,False,0.0,52.76479997549423,-2.889028616609721,0.0,-5.9433,-23.03672706949874,674.0,222,False,,0.0,0.0,0.0,-0.9689545,-0.04339601,-1.0925068,-0.56209755,-17.21753,0.0,-0.8481109,-0.727279,0.0,0.0,-1.5768559
47,25.216674442261727,400,max_steps,False,True,-0.119,-0.528,0.19727736586033087,False,0.0,48.229397694154656,-2.5664000270844554,0.0,-2.9958,-17.450523239094764,607.0,178,False,,-0.14455442,0.0,0.0,-0.21450216,0.0,-1.2884512,-0.6861326,-13.753355,0.0,0.0,-0.22236438,0.0,0.0,-1.1411611
48,6.230907418073714,95,out_of_bounds,True,False,-0.119,-0.528,0.22358395710468087,False,0.0,12.798082040496102,-0.793885723920539,0.0,-1.1901000000000004,-4.583188961492851,533.0,47,False,,0.0,0.0,0.0,-0.19560942,0.0,-0.9415867,0.0,-2.7786305,0.0,0.0,0.0,0.0,0.0,-0.6673624
49,0.9256993195965886,29,out_of_bounds,True,False,-0.119,-0.528,0.2156902847594234,False,0.0,3.161830217124944,-0.18874285945275915,0.0,-0.2517,-1.7956880535930395,541.0,11,False,,0.0,0.0,0.0,-0.21292813,0.0,-1.2772568,-0.15152706,-0.153976,0.0,0.0,0.0,0.0,0.0,0.0
50,2.064541810806469,58,out_of_bounds,True,False,-0.119,-0.528,0.22722674099394055,False,0.0,7.734397823503494,-0.43457143859995995,0.0,-0.9921000000000001,-4.243184581166133,537.0,32,False,,-0.0031809302,0.0,0.0,-0.057997633,0.0,-0.5911753,0.0,-2.0959034,0.0,0.0,0.0,0.0,0.0,-0.49492747
51,1.7809719847192986,47,out_of_bounds,True,False,-0.119,-0.528,0.21853818254090351,False,0.0,5.455637228399634,-0.2961714361445047,0.0,-0.0954,-3.2830938422121108,476.0,25,False,,0.0,0.0,0.0,-0.0683187,0.0,-0.116020404,-0.051719453,-1.9258081,0.0,0.0,0.0,0.0,0.0,-0.12122698
52,9.63156875881329,206,out_of_bounds,True,False,-0.119,-0.528,0.21626549602746978,False,0.0,26.96692277860882,-1.6734286003629677,0.0,-3.714600000000001,-11.94732538194512,606.0,140,False,,-0.11085725,-2.09335,0.0,-1.1646416,0.0,-1.8647599,-0.7289628,-5.283162,0.0,0.0,-0.089721754,0.0,0.0,-0.6118695
